"Source","Target","論文ID","論文タイトル","所属1","所属2","発行日","テスト1","テスト2","テスト3"
"6 環境・安全性・リスク評価・サステナビリティ・規制・社会実装","4 金属・合金・ナノ粒子・触媒材料","https://doi.org/10.1038/s41565-023-01551-8","Intracerebral fate of organic and inorganic nanoparticles is dependent on microglial extracellular vesicle function","","","2022/03/03","10","20.7","69.2"
"4 金属・合金・ナノ粒子・触媒材料","11 ナノ粒子・ナノ構造評価と応用","https://doi.org/10.1038/s41565-023-01551-8","Intracerebral fate of organic and inorganic nanoparticles is dependent on microglial extracellular vesicle function","","","2022/03/03","10","20.7","69.2"
"11 ナノ粒子・ナノ構造評価と応用","8 バイオ応答・治療効果・送達・安全性","https://doi.org/10.1038/s41565-023-01551-8","Intracerebral fate of organic and inorganic nanoparticles is dependent on microglial extracellular vesicle function","","","2022/03/03","10","20.7","69.2"
"2 デバイス・機能材料の設計・開発・動作・応用","1 二次元材料・層状材料・グラフェン・TMDs関連","https://doi.org/10.1038/s41565-023-01340-3","High-throughput manufacturing of epitaxial membranes from a single wafer by 2D materials-based layer transfer process","","","2020/06/17","10","36.3","12.4"
"1 二次元材料・層状材料・グラフェン・TMDs関連","1 材料合成・薄膜形成","https://doi.org/10.1038/s41565-023-01340-3","High-throughput manufacturing of epitaxial membranes from a single wafer by 2D materials-based layer transfer process","","","2020/06/17","10","36.3","12.4"
"1 材料合成・薄膜形成","1 電気・電子・論理・量子デバイス性能","https://doi.org/10.1038/s41565-023-01340-3","High-throughput manufacturing of epitaxial membranes from a single wafer by 2D materials-based layer transfer process","","","2020/06/17","10","36.3","12.4"
"3 量子・スピン・トポロジカル・先端物性現象の実証・制御・応用","12 ナノメディシン・ドラッグデリバリー・バイオ応用","https://doi.org/10.1038/s41565-023-01501-4","Oxyhaemoglobin saturation NIR-IIb imaging for assessing cancer metabolism and predicting the response to immunotherapy","","","2020/12/26","10","89.3","32.6"
"12 ナノメディシン・ドラッグデリバリー・バイオ応用","7 ナノバイオ・医療・生体応用実験・評価","https://doi.org/10.1038/s41565-023-01501-4","Oxyhaemoglobin saturation NIR-IIb imaging for assessing cancer metabolism and predicting the response to immunotherapy","","","2020/12/26","10","89.3","32.6"
"7 ナノバイオ・医療・生体応用実験・評価","10 計測技術・センシング・検出・イメージング","https://doi.org/10.1038/s41565-023-01501-4","Oxyhaemoglobin saturation NIR-IIb imaging for assessing cancer metabolism and predicting the response to immunotherapy","","","2020/12/26","10","89.3","32.6"
"2 デバイス・機能材料の設計・開発・動作・応用","1 二次元材料・層状材料・グラフェン・TMDs関連","https://doi.org/10.1038/s41565-022-01314-x","Electrical switching of a bistable moiré superconductor","","","2021/09/13","10","41.5","85.5"
"1 二次元材料・層状材料・グラフェン・TMDs関連","5 電気・電子・磁気・光学的測定","https://doi.org/10.1038/s41565-022-01314-x","Electrical switching of a bistable moiré superconductor","","","2021/09/13","10","41.5","85.5"
"5 電気・電子・磁気・光学的測定","1 電気・電子・論理・量子デバイス性能","https://doi.org/10.1038/s41565-022-01314-x","Electrical switching of a bistable moiré superconductor","","","2021/09/13","10","41.5","85.5"
"7 センシング・バイオセンシング・イメージング・計測技術の開発・応用","3 カーボンナノ材料（CNT、カーボンドット等）","https://doi.org/10.1038/s41565-022-01307-w","Nanosensors for monitoring plant health","","","2024/04/13","10","11.5","97.2"
"3 カーボンナノ材料（CNT、カーボンドット等）","7 ナノバイオ・医療・生体応用実験・評価","https://doi.org/10.1038/s41565-022-01307-w","Nanosensors for monitoring plant health","","","2024/04/13","10","11.5","97.2"
"7 ナノバイオ・医療・生体応用実験・評価","10 計測技術・センシング・検出・イメージング","https://doi.org/10.1038/s41565-022-01307-w","Nanosensors for monitoring plant health","","","2024/04/13","10","11.5","97.2"
"3 量子・スピン・トポロジカル・先端物性現象の実証・制御・応用","4 金属・合金・ナノ粒子・触媒材料","https://doi.org/10.1038/s41565-023-01393-4","An ancestral molecular response to nanomaterial particulates","","","2023/07/16","10","11.2","34.4"
"4 金属・合金・ナノ粒子・触媒材料","7 ナノバイオ・医療・生体応用実験・評価","https://doi.org/10.1038/s41565-023-01393-4","An ancestral molecular response to nanomaterial particulates","","","2023/07/16","10","11.2","34.4"
"7 ナノバイオ・医療・生体応用実験・評価","8 バイオ応答・治療効果・送達・安全性","https://doi.org/10.1038/s41565-023-01393-4","An ancestral molecular response to nanomaterial particulates","","","2023/07/16","10","11.2","34.4"
"3 量子・スピン・トポロジカル・先端物性現象の実証・制御・応用","4 金属・合金・ナノ粒子・触媒材料","https://doi.org/10.1038/s41565-023-01386-3","Antiferromagnetic half-skyrmions electrically generated and controlled at room temperature","","","2025/09/13","10","85.2","46.7"
"4 金属・合金・ナノ粒子・触媒材料","3 構造評価・表面分析・顕微鏡観察","https://doi.org/10.1038/s41565-023-01386-3","Antiferromagnetic half-skyrmions electrically generated and controlled at room temperature","","","2025/09/13","10","85.2","46.7"
"3 構造評価・表面分析・顕微鏡観察","2 磁気・スピン・フォトニック・集積化デバイス","https://doi.org/10.1038/s41565-023-01386-3","Antiferromagnetic half-skyrmions electrically generated and controlled at room temperature","","","2025/09/13","10","85.2","46.7"
"9 自己組織化・自己集合・分子機械・ナノロボティクス・分子デバイスの設計と制御","7 DNAオリガミ・核酸ナノ構造・DNA/RNAデバイス","https://doi.org/10.1038/s41565-023-01443-x","DNA-origami-directed virus capsid polymorphism","","","2023/12/31","10","48.8","51.1"
"7 DNAオリガミ・核酸ナノ構造・DNA/RNAデバイス","12 DNA/RNA・分子ナノテク・バイオナノデバイス","https://doi.org/10.1038/s41565-023-01443-x","DNA-origami-directed virus capsid polymorphism","","","2023/12/31","10","48.8","51.1"
"12 DNA/RNA・分子ナノテク・バイオナノデバイス","3 構造・組成・形態・界面・表面特性","https://doi.org/10.1038/s41565-023-01443-x","DNA-origami-directed virus capsid polymorphism","","","2023/12/31","10","48.8","51.1"
"12 DNA/RNA/タンパク質等 生体分子・バイオ材料のナノスケール操作・計測・応用","6 リポソーム・LNP・バイオナノ材料","https://doi.org/10.1038/s41565-023-01476-2","Electroactive membrane fusion-liposome for increased electron transfer to enhance radiodynamic therapy","","","2021/12/23","10","93.4","58.3"
"6 リポソーム・LNP・バイオナノ材料","7 ナノバイオ・医療・生体応用実験・評価","https://doi.org/10.1038/s41565-023-01476-2","Electroactive membrane fusion-liposome for increased electron transfer to enhance radiodynamic therapy","","","2021/12/23","10","93.4","58.3"
"7 ナノバイオ・医療・生体応用実験・評価","8 バイオ応答・治療効果・送達・安全性","https://doi.org/10.1038/s41565-023-01476-2","Electroactive membrane fusion-liposome for increased electron transfer to enhance radiodynamic therapy","","","2021/12/23","10","93.4","58.3"
"1 新規材料・ナノ構造の合成・成長・構造制御・基礎物性の解明","7 DNAオリガミ・核酸ナノ構造・DNA/RNAデバイス","https://doi.org/10.1038/s41565-023-01485-1","Single-molecule analysis of DNA base-stacking energetics using patterned DNA nanostructures","","","2021/08/30","10","91.6","24.7"
"7 DNAオリガミ・核酸ナノ構造・DNA/RNAデバイス","12 DNA/RNA・分子ナノテク・バイオナノデバイス","https://doi.org/10.1038/s41565-023-01485-1","Single-molecule analysis of DNA base-stacking energetics using patterned DNA nanostructures","","","2021/08/30","10","91.6","24.7"
"12 DNA/RNA・分子ナノテク・バイオナノデバイス","3 構造・組成・形態・界面・表面特性","https://doi.org/10.1038/s41565-023-01485-1","Single-molecule analysis of DNA base-stacking energetics using patterned DNA nanostructures","","","2021/08/30","10","91.6","24.7"
"1 新規材料・ナノ構造の合成・成長・構造制御・基礎物性の解明","9 バッテリー材料・電極・電解質","https://doi.org/10.1038/s41565-023-01466-4","Three-dimensional operando optical imaging of particle and electrolyte heterogeneities inside Li-ion batteries","","","2024/02/02","10","97.9","90.8"
"9 バッテリー材料・電極・電解質","3 構造評価・表面分析・顕微鏡観察","https://doi.org/10.1038/s41565-023-01466-4","Three-dimensional operando optical imaging of particle and electrolyte heterogeneities inside Li-ion batteries","","","2024/02/02","10","97.9","90.8"
"3 構造評価・表面分析・顕微鏡観察","3 構造・組成・形態・界面・表面特性","https://doi.org/10.1038/s41565-023-01466-4","Three-dimensional operando optical imaging of particle and electrolyte heterogeneities inside Li-ion batteries","","","2024/02/02","10","97.9","90.8"
"1 新規材料・ナノ構造の合成・成長・構造制御・基礎物性の解明","7 DNAオリガミ・核酸ナノ構造・DNA/RNAデバイス","https://doi.org/10.1038/s41565-023-01527-8","A DNA turbine powered by a transmembrane potential across a nanopore","","","2023/12/12","10","87.2","57.6"
"7 DNAオリガミ・核酸ナノ構造・DNA/RNAデバイス","12 DNA/RNA・分子ナノテク・バイオナノデバイス","https://doi.org/10.1038/s41565-023-01527-8","A DNA turbine powered by a transmembrane potential across a nanopore","","","2023/12/12","10","87.2","57.6"
"12 DNA/RNA・分子ナノテク・バイオナノデバイス","1 電気・電子・論理・量子デバイス性能","https://doi.org/10.1038/s41565-023-01527-8","A DNA turbine powered by a transmembrane potential across a nanopore","","","2023/12/12","10","87.2","57.6"
"3 量子・スピン・トポロジカル・先端物性現象の実証・制御・応用","6 リポソーム・LNP・バイオナノ材料","https://doi.org/10.1038/s41565-023-01371-w","Active ingredient vs excipient debate for nanomedicines","","","2022/06/27","10","44.7","7"
"6 リポソーム・LNP・バイオナノ材料","13 レビュー・総説・動向分析・社会データ","https://doi.org/10.1038/s41565-023-01371-w","Active ingredient vs excipient debate for nanomedicines","","","2022/06/27","10","44.7","7"
"13 レビュー・総説・動向分析・社会データ","8 バイオ応答・治療効果・送達・安全性","https://doi.org/10.1038/s41565-023-01371-w","Active ingredient vs excipient debate for nanomedicines","","","2022/06/27","10","44.7","7"
"5 ナノバイオ・ナノメディシン・ドラッグデリバリー・診断治療の設計・応用","1 二次元材料・層状材料・グラフェン・TMDs関連","https://doi.org/10.1038/s41565-023-01376-5","Switchable moiré potentials in ferroelectric WTe2/WSe2 superlattices","","","2025/05/18","10","56.8","43.8"
"1 二次元材料・層状材料・グラフェン・TMDs関連","2 デバイス作製・パターニング・マイクロ/ナノファブリケーション","https://doi.org/10.1038/s41565-023-01376-5","Switchable moiré potentials in ferroelectric WTe2/WSe2 superlattices","","","2025/05/18","10","56.8","43.8"
"2 デバイス作製・パターニング・マイクロ/ナノファブリケーション","7 バンドギャップ・励起子・光キャリア等の物理パラメータ","https://doi.org/10.1038/s41565-023-01376-5","Switchable moiré potentials in ferroelectric WTe2/WSe2 superlattices","","","2025/05/18","10","56.8","43.8"
"5 ナノバイオ・ナノメディシン・ドラッグデリバリー・診断治療の設計・応用","1 二次元材料・層状材料・グラフェン・TMDs関連","https://doi.org/10.1038/s41565-023-01391-6","Atomically thin optomemristive feedback neurons","","","2024/07/13","10","53.7","56"
"1 二次元材料・層状材料・グラフェン・TMDs関連","8 デバイス動作・システムレベル評価・応用","https://doi.org/10.1038/s41565-023-01391-6","Atomically thin optomemristive feedback neurons","","","2024/07/13","10","53.7","56"
"8 デバイス動作・システムレベル評価・応用","1 電気・電子・論理・量子デバイス性能","https://doi.org/10.1038/s41565-023-01391-6","Atomically thin optomemristive feedback neurons","","","2024/07/13","10","53.7","56"
"3 量子・スピン・トポロジカル・先端物性現象の実証・制御・応用","7 DNAオリガミ・核酸ナノ構造・DNA/RNAデバイス","https://doi.org/10.1038/s41565-023-01487-z","Site-directed placement of three-dimensional DNA origami","","","2022/08/22","10","92.5","34.5"
"7 DNAオリガミ・核酸ナノ構造・DNA/RNAデバイス","2 デバイス作製・パターニング・マイクロ/ナノファブリケーション","https://doi.org/10.1038/s41565-023-01487-z","Site-directed placement of three-dimensional DNA origami","","","2022/08/22","10","92.5","34.5"
"2 デバイス作製・パターニング・マイクロ/ナノファブリケーション","3 構造・組成・形態・界面・表面特性","https://doi.org/10.1038/s41565-023-01487-z","Site-directed placement of three-dimensional DNA origami","","","2022/08/22","10","92.5","34.5"
"11 界面・表面・ナノスケール構造・ダイナミクスの可視化・制御・解析","5 ポリマー・高分子・有機材料・有機半導体","https://doi.org/10.1038/s41565-023-01517-w","Ultrahigh-printing-speed photoresists for additive manufacturing","","","2020/07/04","10","69.7","48.8"
"5 ポリマー・高分子・有機材料・有機半導体","2 デバイス作製・パターニング・マイクロ/ナノファブリケーション","https://doi.org/10.1038/s41565-023-01517-w","Ultrahigh-printing-speed photoresists for additive manufacturing","","","2020/07/04","10","69.7","48.8"
"2 デバイス作製・パターニング・マイクロ/ナノファブリケーション","11 機械/熱/環境特性・耐久・リサイクル","https://doi.org/10.1038/s41565-023-01517-w","Ultrahigh-printing-speed photoresists for additive manufacturing","","","2020/07/04","10","69.7","48.8"
"8 理論・計算・機構解明・モデリング・記述子・基礎科学の深化","2 ペロブスカイト・量子ドット・ナノ結晶材料","https://doi.org/10.1038/s41565-023-01528-7","Telecom-band quantum dot technologies for long-distance quantum networks","","","2024/10/15","10","24.5","58"
"2 ペロブスカイト・量子ドット・ナノ結晶材料","1 材料合成・薄膜形成","https://doi.org/10.1038/s41565-023-01528-7","Telecom-band quantum dot technologies for long-distance quantum networks","","","2024/10/15","10","24.5","58"
"1 材料合成・薄膜形成","1 電気・電子・論理・量子デバイス性能","https://doi.org/10.1038/s41565-023-01528-7","Telecom-band quantum dot technologies for long-distance quantum networks","","","2024/10/15","10","24.5","58"
"3 量子・スピン・トポロジカル・先端物性現象の実証・制御・応用","1 二次元材料・層状材料・グラフェン・TMDs関連","https://doi.org/10.1038/s41565-023-01421-3","Electron cooling in graphene enhanced by plasmon–hydron resonance","","","2023/11/20","10","28.2","26.4"
"1 二次元材料・層状材料・グラフェン・TMDs関連","5 電気・電子・磁気・光学的測定","https://doi.org/10.1038/s41565-023-01421-3","Electron cooling in graphene enhanced by plasmon–hydron resonance","","","2023/11/20","10","28.2","26.4"
"5 電気・電子・磁気・光学的測定","1 電気・電子・論理・量子デバイス性能","https://doi.org/10.1038/s41565-023-01421-3","Electron cooling in graphene enhanced by plasmon–hydron resonance","","","2023/11/20","10","28.2","26.4"
"12 DNA/RNA/タンパク質等 生体分子・バイオ材料のナノスケール操作・計測・応用","2 ペロブスカイト・量子ドット・ナノ結晶材料","https://doi.org/10.1038/s41565-023-01521-0","Optical gain and lasing from bulk cadmium sulfide nanocrystals through bandgap renormalization","","","2022/08/31","10","83.7","26.4"
"2 ペロブスカイト・量子ドット・ナノ結晶材料","1 材料合成・薄膜形成","https://doi.org/10.1038/s41565-023-01521-0","Optical gain and lasing from bulk cadmium sulfide nanocrystals through bandgap renormalization","","","2022/08/31","10","83.7","26.4"
"1 材料合成・薄膜形成","6 発光・フォトニクス・スペクトル・非線形光学特性","https://doi.org/10.1038/s41565-023-01521-0","Optical gain and lasing from bulk cadmium sulfide nanocrystals through bandgap renormalization","","","2022/08/31","10","83.7","26.4"
"1 新規材料・ナノ構造の合成・成長・構造制御・基礎物性の解明","6 リポソーム・LNP・バイオナノ材料","https://doi.org/10.1038/s41565-023-01547-4","Oligomeric organization of membrane proteins from native membranes at nanoscale spatial and single-molecule resolution","","","2025/12/08","10","83.3","92.4"
"6 リポソーム・LNP・バイオナノ材料","3 構造評価・表面分析・顕微鏡観察","https://doi.org/10.1038/s41565-023-01547-4","Oligomeric organization of membrane proteins from native membranes at nanoscale spatial and single-molecule resolution","","","2025/12/08","10","83.3","92.4"
"3 構造評価・表面分析・顕微鏡観察","10 計測技術・センシング・検出・イメージング","https://doi.org/10.1038/s41565-023-01547-4","Oligomeric organization of membrane proteins from native membranes at nanoscale spatial and single-molecule resolution","","","2025/12/08","10","83.3","92.4"
"7 センシング・バイオセンシング・イメージング・計測技術の開発・応用","1 二次元材料・層状材料・グラフェン・TMDs関連","https://doi.org/10.1038/s41565-022-01312-z","Electrically switchable anisotropic polariton propagation in a ferroelectric van der Waals semiconductor","","","2023/07/29","10","75.2","53.8"
"1 二次元材料・層状材料・グラフェン・TMDs関連","5 電気・電子・磁気・光学的測定","https://doi.org/10.1038/s41565-022-01312-z","Electrically switchable anisotropic polariton propagation in a ferroelectric van der Waals semiconductor","","","2023/07/29","10","75.2","53.8"
"5 電気・電子・磁気・光学的測定","2 磁気・スピン・フォトニック・集積化デバイス","https://doi.org/10.1038/s41565-022-01312-z","Electrically switchable anisotropic polariton propagation in a ferroelectric van der Waals semiconductor","","","2023/07/29","10","75.2","53.8"
"3 量子・スピン・トポロジカル・先端物性現象の実証・制御・応用","1 二次元材料・層状材料・グラフェン・TMDs関連","https://doi.org/10.1038/s41565-023-01324-3","Hyperbolic whispering-gallery phonon polaritons in boron nitride nanotubes","","","2021/01/06","10","67.1","81.5"
"1 二次元材料・層状材料・グラフェン・TMDs関連","10 マルチモーダル・複合的解析・統合手法","https://doi.org/10.1038/s41565-023-01324-3","Hyperbolic whispering-gallery phonon polaritons in boron nitride nanotubes","","","2021/01/06","10","67.1","81.5"
"10 マルチモーダル・複合的解析・統合手法","6 発光・フォトニクス・スペクトル・非線形光学特性","https://doi.org/10.1038/s41565-023-01324-3","Hyperbolic whispering-gallery phonon polaritons in boron nitride nanotubes","","","2021/01/06","10","67.1","81.5"
"7 センシング・バイオセンシング・イメージング・計測技術の開発・応用","5 ポリマー・高分子・有機材料・有機半導体","https://doi.org/10.1038/s41565-023-01530-z","Interlinking spatial dimensions and kinetic processes in dissipative materials to create synthetic systems with lifelike functionality","","","2025/08/25","10","94.6","18.7"
"5 ポリマー・高分子・有機材料・有機半導体","6 シミュレーション・理論・データ駆動型手法","https://doi.org/10.1038/s41565-023-01530-z","Interlinking spatial dimensions and kinetic processes in dissipative materials to create synthetic systems with lifelike functionality","","","2025/08/25","10","94.6","18.7"
"6 シミュレーション・理論・データ駆動型手法","15 多機能・複合・システム・統合評価","https://doi.org/10.1038/s41565-023-01530-z","Interlinking spatial dimensions and kinetic processes in dissipative materials to create synthetic systems with lifelike functionality","","","2025/08/25","10","94.6","18.7"
"8 理論・計算・機構解明・モデリング・記述子・基礎科学の深化","5 ポリマー・高分子・有機材料・有機半導体","https://doi.org/10.1038/s41565-023-01382-7","Artificial intelligence assists nanoparticles to enter solid tumours","","","2025/11/16","10","62.7","51.6"
"5 ポリマー・高分子・有機材料・有機半導体","10 マルチモーダル・複合的解析・統合手法","https://doi.org/10.1038/s41565-023-01382-7","Artificial intelligence assists nanoparticles to enter solid tumours","","","2025/11/16","10","62.7","51.6"
"10 マルチモーダル・複合的解析・統合手法","8 バイオ応答・治療効果・送達・安全性","https://doi.org/10.1038/s41565-023-01382-7","Artificial intelligence assists nanoparticles to enter solid tumours","","","2025/11/16","10","62.7","51.6"
"3 量子・スピン・トポロジカル・先端物性現象の実証・制御・応用","11 セラミックス・酸化物・誘電体・光学材料","https://doi.org/10.1038/s41565-023-01380-9","Spin-dependent properties of optical modes guided by adiabatic trapping potentials in photonic Dirac metasurfaces","","","2020/07/26","10","62.8","99.9"
"11 セラミックス・酸化物・誘電体・光学材料","2 デバイス作製・パターニング・マイクロ/ナノファブリケーション","https://doi.org/10.1038/s41565-023-01380-9","Spin-dependent properties of optical modes guided by adiabatic trapping potentials in photonic Dirac metasurfaces","","","2020/07/26","10","62.8","99.9"
"2 デバイス作製・パターニング・マイクロ/ナノファブリケーション","2 磁気・スピン・フォトニック・集積化デバイス","https://doi.org/10.1038/s41565-023-01380-9","Spin-dependent properties of optical modes guided by adiabatic trapping potentials in photonic Dirac metasurfaces","","","2020/07/26","10","62.8","99.9"
"9 自己組織化・自己集合・分子機械・ナノロボティクス・分子デバイスの設計と制御","6 リポソーム・LNP・バイオナノ材料","https://doi.org/10.1038/s41565-023-01514-z","Inhibition of acute complement responses towards bolus-injected nanoparticles using targeted short-circulating regulatory proteins","","","2023/12/07","10","94","65.5"
"6 リポソーム・LNP・バイオナノ材料","7 ナノバイオ・医療・生体応用実験・評価","https://doi.org/10.1038/s41565-023-01514-z","Inhibition of acute complement responses towards bolus-injected nanoparticles using targeted short-circulating regulatory proteins","","","2023/12/07","10","94","65.5"
"7 ナノバイオ・医療・生体応用実験・評価","8 バイオ応答・治療効果・送達・安全性","https://doi.org/10.1038/s41565-023-01514-z","Inhibition of acute complement responses towards bolus-injected nanoparticles using targeted short-circulating regulatory proteins","","","2023/12/07","10","94","65.5"
"5 ナノバイオ・ナノメディシン・ドラッグデリバリー・診断治療の設計・応用","8 メモリ・電子デバイス・半導体素子","https://doi.org/10.1038/s41565-023-01368-5","Coulomb-mediated antibunching of an electron pair surfing on sound","","","2021/02/02","10","10.8","95.1"
"8 メモリ・電子デバイス・半導体素子","5 電気・電子・磁気・光学的測定","https://doi.org/10.1038/s41565-023-01368-5","Coulomb-mediated antibunching of an electron pair surfing on sound","","","2021/02/02","10","10.8","95.1"
"5 電気・電子・磁気・光学的測定","1 電気・電子・論理・量子デバイス性能","https://doi.org/10.1038/s41565-023-01368-5","Coulomb-mediated antibunching of an electron pair surfing on sound","","","2021/02/02","10","10.8","95.1"
"12 DNA/RNA/タンパク質等 生体分子・バイオ材料のナノスケール操作・計測・応用","1 二次元材料・層状材料・グラフェン・TMDs関連","https://doi.org/10.1038/s41565-023-01403-5","Electrical switching of ferro-rotational order in nanometre-thick 1T-TaS2 crystals","","","2022/09/05","10","21.8","23.1"
"1 二次元材料・層状材料・グラフェン・TMDs関連","10 マルチモーダル・複合的解析・統合手法","https://doi.org/10.1038/s41565-023-01403-5","Electrical switching of ferro-rotational order in nanometre-thick 1T-TaS2 crystals","","","2022/09/05","10","21.8","23.1"
"10 マルチモーダル・複合的解析・統合手法","1 電気・電子・論理・量子デバイス性能","https://doi.org/10.1038/s41565-023-01403-5","Electrical switching of ferro-rotational order in nanometre-thick 1T-TaS2 crystals","","","2022/09/05","10","21.8","23.1"
"7 センシング・バイオセンシング・イメージング・計測技術の開発・応用","1 二次元材料・層状材料・グラフェン・TMDs関連","https://doi.org/10.1038/s41565-023-01413-3","Pressure tuning of minibands in MoS2/WSe2 heterostructures revealed by moiré phonons","","","2024/05/11","10","9.3","34.8"
"1 二次元材料・層状材料・グラフェン・TMDs関連","10 マルチモーダル・複合的解析・統合手法","https://doi.org/10.1038/s41565-023-01413-3","Pressure tuning of minibands in MoS2/WSe2 heterostructures revealed by moiré phonons","","","2024/05/11","10","9.3","34.8"
"10 マルチモーダル・複合的解析・統合手法","7 バンドギャップ・励起子・光キャリア等の物理パラメータ","https://doi.org/10.1038/s41565-023-01413-3","Pressure tuning of minibands in MoS2/WSe2 heterostructures revealed by moiré phonons","","","2024/05/11","10","9.3","34.8"
"9 自己組織化・自己集合・分子機械・ナノロボティクス・分子デバイスの設計と制御","1 二次元材料・層状材料・グラフェン・TMDs関連","https://doi.org/10.1038/s41565-023-01438-8","Ultrafast exciton fluid flow in an atomically thin MoS2 semiconductor","","","2022/08/21","10","12.2","66.8"
"1 二次元材料・層状材料・グラフェン・TMDs関連","4 分光・物性評価・組成/化学分析","https://doi.org/10.1038/s41565-023-01438-8","Ultrafast exciton fluid flow in an atomically thin MoS2 semiconductor","","","2022/08/21","10","12.2","66.8"
"4 分光・物性評価・組成/化学分析","7 バンドギャップ・励起子・光キャリア等の物理パラメータ","https://doi.org/10.1038/s41565-023-01438-8","Ultrafast exciton fluid flow in an atomically thin MoS2 semiconductor","","","2022/08/21","10","12.2","66.8"
"6 環境・安全性・リスク評価・サステナビリティ・規制・社会実装","3 カーボンナノ材料（CNT、カーボンドット等）","https://doi.org/10.1038/s41565-023-01575-0","Nanosensor detection of reactive oxygen and nitrogen species leakage in frustrated phagocytosis of nanofibres","","","2024/03/18","10","90.4","4.4"
"3 カーボンナノ材料（CNT、カーボンドット等）","7 ナノバイオ・医療・生体応用実験・評価","https://doi.org/10.1038/s41565-023-01575-0","Nanosensor detection of reactive oxygen and nitrogen species leakage in frustrated phagocytosis of nanofibres","","","2024/03/18","10","90.4","4.4"
"7 ナノバイオ・医療・生体応用実験・評価","8 バイオ応答・治療効果・送達・安全性","https://doi.org/10.1038/s41565-023-01575-0","Nanosensor detection of reactive oxygen and nitrogen species leakage in frustrated phagocytosis of nanofibres","","","2024/03/18","10","90.4","4.4"
"3 量子・スピン・トポロジカル・先端物性現象の実証・制御・応用","11 セラミックス・酸化物・誘電体・光学材料","https://doi.org/10.1038/s41565-023-01595-w","Local-orbital ptychography for ultrahigh-resolution imaging","","","2020/12/30","10","52.8","36.6"
"11 セラミックス・酸化物・誘電体・光学材料","10 マルチモーダル・複合的解析・統合手法","https://doi.org/10.1038/s41565-023-01595-w","Local-orbital ptychography for ultrahigh-resolution imaging","","","2020/12/30","10","52.8","36.6"
"10 マルチモーダル・複合的解析・統合手法","10 計測技術・センシング・検出・イメージング","https://doi.org/10.1038/s41565-023-01595-w","Local-orbital ptychography for ultrahigh-resolution imaging","","","2020/12/30","10","52.8","36.6"
"2 デバイス・機能材料の設計・開発・動作・応用","4 金属・合金・ナノ粒子・触媒材料","https://doi.org/10.1038/s41565-024-01622-4","Submolecular-scale control of phototautomerization","","","2020/04/30","10","12.1","71.3"
"4 金属・合金・ナノ粒子・触媒材料","10 マルチモーダル・複合的解析・統合手法","https://doi.org/10.1038/s41565-024-01622-4","Submolecular-scale control of phototautomerization","","","2020/04/30","10","12.1","71.3"
"10 マルチモーダル・複合的解析・統合手法","5 化学反応性・触媒活性・電気化学特性","https://doi.org/10.1038/s41565-024-01622-4","Submolecular-scale control of phototautomerization","","","2020/04/30","10","12.1","71.3"
"9 自己組織化・自己集合・分子機械・ナノロボティクス・分子デバイスの設計と制御","9 バッテリー材料・電極・電解質","https://doi.org/10.1038/s41565-024-01773-4","Revealing the degradation pathways of layered Li-rich oxide cathodes","","","2020/08/30","10","10.2","10.4"
"9 バッテリー材料・電極・電解質","10 マルチモーダル・複合的解析・統合手法","https://doi.org/10.1038/s41565-024-01773-4","Revealing the degradation pathways of layered Li-rich oxide cathodes","","","2020/08/30","10","10.2","10.4"
"10 マルチモーダル・複合的解析・統合手法","4 材料の安定性・耐久性・分散・リサイクル性等","https://doi.org/10.1038/s41565-024-01773-4","Revealing the degradation pathways of layered Li-rich oxide cathodes","","","2020/08/30","10","10.2","10.4"
"1 新規材料・ナノ構造の合成・成長・構造制御・基礎物性の解明","10 磁性材料・スピントロニクス・強磁性/反強磁性材料","https://doi.org/10.1038/s41565-024-01694-2","In vivo magnetogenetics for cell-type-specific targeting and modulation of brain circuits","","","2022/01/16","10","5.7","13.6"
"10 磁性材料・スピントロニクス・強磁性/反強磁性材料","7 ナノバイオ・医療・生体応用実験・評価","https://doi.org/10.1038/s41565-024-01694-2","In vivo magnetogenetics for cell-type-specific targeting and modulation of brain circuits","","","2022/01/16","10","5.7","13.6"
"7 ナノバイオ・医療・生体応用実験・評価","8 バイオ応答・治療効果・送達・安全性","https://doi.org/10.1038/s41565-024-01694-2","In vivo magnetogenetics for cell-type-specific targeting and modulation of brain circuits","","","2022/01/16","10","5.7","13.6"
"3 量子・スピン・トポロジカル・先端物性現象の実証・制御・応用","11 セラミックス・酸化物・誘電体・光学材料","https://doi.org/10.1038/s41565-024-01767-2","Continuous spectral and coupling-strength encoding with dual-gradient metasurfaces","","","2022/03/26","10","4.9","40.5"
"11 セラミックス・酸化物・誘電体・光学材料","2 デバイス作製・パターニング・マイクロ/ナノファブリケーション","https://doi.org/10.1038/s41565-024-01767-2","Continuous spectral and coupling-strength encoding with dual-gradient metasurfaces","","","2022/03/26","10","4.9","40.5"
"2 デバイス作製・パターニング・マイクロ/ナノファブリケーション","6 発光・フォトニクス・スペクトル・非線形光学特性","https://doi.org/10.1038/s41565-024-01767-2","Continuous spectral and coupling-strength encoding with dual-gradient metasurfaces","","","2022/03/26","10","4.9","40.5"
